URL,Name,Vegetable,Meat,Other,Rice,Seafood,Ingredients
https://user-images.githubusercontent.com/113488749/236106687-269d30d2-3fc5-4357-b9e6-9de1885dffaf.png,Egg Fried Noodles,No,No,Egg,Noodles,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106688-46de133f-4c48-45c9-9f08-f2e0164aab11.png,Braised Pork Trotter,No,Pork,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106689-a7ce0063-f29a-41dd-9853-cd1b3773cb8e.png,Rougamo,No,Pork,No,Cake,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106690-1354307e-26e1-4dc2-a8c8-189a0cfbfae4.png,Corn Soup with Pork Ribs,Beans,Pork,No,No,No,Coriander
https://user-images.githubusercontent.com/113488749/236106692-3cc5c2a2-532d-4e30-85db-0e085c2ec7a2.png,Curry Chicken,Roots,Pork,No,No,No,Coriander
https://user-images.githubusercontent.com/113488749/236106694-b9926ddd-c029-4a5b-ad61-41387a5e96e4.png,Beijing Noodle Bowl,Roots,No,Egg,Noodles,No,Coriander
https://user-images.githubusercontent.com/113488749/236106696-16e1e6c5-b865-4a0f-b4fa-fe0a1d6e75df.png,Lanzhou Stretched Noodles,No,No,No,Noodles,Shrimp,No
https://user-images.githubusercontent.com/113488749/236106697-e67010eb-9698-4977-a3c9-08a3b77d3e07.png,Chicken Soup,No,Chicken,No,No,No,Coriander
https://user-images.githubusercontent.com/113488749/236106698-41cec792-c269-45ea-9a8e-6d18dc314794.png,Plain Noodles,No,No,No,Noodles,No,No
https://user-images.githubusercontent.com/113488749/236106699-26e72b3b-1053-4af6-825d-5f55cef8d4d3.png,Liuzhou river snails rice noodle,Leaves,No,No,Noodles,No,No
https://user-images.githubusercontent.com/113488749/236106700-a41f40b1-79d1-45da-b59d-e2b3ae9fd133.png,Egg and Tomato Noodles,Roots,No,Egg,Noodles,No,Coriander
https://user-images.githubusercontent.com/113488749/236106701-da97d472-e601-4e22-a364-b30c44a41b57.png,Cold Noodles,Leaves,No,Egg,Noodles,No,No
https://user-images.githubusercontent.com/113488749/236106702-49659bb1-49bf-475e-b5a2-db19d2d47ebf.png,Pickled Radish,Roots,No,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106703-e2d433d4-d60d-408d-b3fc-8c5cf47d4a50.png,Yangzhou Fried Rice,Beans,No,No,Rice,Shrimp,No
https://user-images.githubusercontent.com/113488749/236106704-a045d190-cf8e-40ee-935c-864f686f409e.png,Red-braised Beef Noodle Soup,No,Pork,No,Noodles,No,Chives
https://user-images.githubusercontent.com/113488749/236106706-3e84b519-f7f2-4065-8041-ffbcf2a9d53a.png,Stew Vegetable,Leaves,No,No,No,No,No
https://user-images.githubusercontent.com/113488749/236106707-1b31def8-095d-4fa8-912f-88764ca14257.png,Chinese Chives Soup,Leaves,No,No,No,No,No
https://user-images.githubusercontent.com/113488749/236106709-f27c0c65-ae84-4124-99cb-e9e6752433f8.png,Old Cucumber Soup with Tofu,Roots,No,Tofu,No,No,No
